DateTCS Day,TCS Schedule (9 AM - 6 PM),Shadow Goal (7 PM - 10 PM),Critical Resources / Links,Status
[cite_start]05-Jan-26,Day 6,"SQL Basics: DDL, DML, Normalization [cite: 9]","Azure Setup: Create Azure Free Tier. Provision Azure SQL DB. Connect SSMS/Data Studio locally.","https://portal.azure.com",
[cite_start]06-Jan-26,Day 7,"SQL Advanced: Joins, Subqueries, Aggregate Functions [cite: 13]","Cloud SQL: Execute your TCS Day 7 queries on the Azure DB. Save T-SQL migration scripts.","https://learn.microsoft.com/en-us/sql/t-sql/",
[cite_start]07-Jan-26,Day 8,"UI Basics (HTML/CSS) [cite: 13]","DSA Warmup: Solve 2 Easy Arrays/Strings problems (PRA 1 Prep). Setup GitHub Repo.","https://leetcode.com/problemset/all/",
[cite_start]08-Jan-26,Day 9,"C# Intro: Conditionals, Loops [cite: 13]","Modern C#: Learn Pattern Matching (switch expressions) instead of basic if/else.","https://learn.microsoft.com/en-us/dotnet/csharp/fundamentals/functional/pattern-matching",
[cite_start]09-Jan-26,Day 10,"C# Data Types & Numeric Computations [cite: 13]","Project Init: Create .NET 8 Web API. Push to GitHub. Structure: src/Core, src/Infra, src/API.","https://github.com/jasontaylordev/CleanArchitecture",
10-Jan-26,Weekend,WEEKEND Sprint,"Azure Deploy: Deploy the empty Web API to Azure App Service (F1 Free Tier).",,
11-Jan-26,Weekend,WEEKEND Sprint,"DSA Drill: Arrays & Strings Logic (Critical for PRA 1). Solve 3 HackerRank problems.",,
[cite_start]12-Jan-26,Day 11,"OOP: Class, Constructor, Properties [cite: 13]","Dependency Injection: Implement DI (AddScoped) in your Shadow API. Don't use 'new Class()'.","https://learn.microsoft.com/en-us/aspnet/core/fundamentals/dependency-injection",
[cite_start]13-Jan-26,Day 12,"BizProject Intro (Group Activity) [cite: 18]","Unit Testing: Write xUnit tests for your OOP models. Achieve 100% coverage on Logic classes.",,
[cite_start]14-Jan-26,Day 13,"C#: Iterations, Strings, Arrays [cite: 18]","Review Day: Refactor your Shadow API code. Ensure strict typing and no magic strings.",,
[cite_start]15-Jan-26,Day 14,"OOP: Inheritance, Polymorphism [cite: 18]","Clean Architecture: Implement Repository Pattern in Shadow API (IEmployeeRepository).",,
[cite_start]16-Jan-26,Day 15,"C#: Exception Handling & Collections [cite: 18]","Global Error Handling: Add Exception Middleware to Shadow API. Log to Console.",,
17-Jan-26,Weekend,WEEKEND Sprint,"PRA 1 MOCK (Exam Mode): Build a Console App (CRUD) using Arrays/Lists in 45 mins. No Help.",,
18-Jan-26,Weekend,WEEKEND Sprint,"PRA 1 MOCK (Review): Optimize your logic. Focus on speed and syntax accuracy.",,
[cite_start]19-Jan-26,Day 16,"**Sprint 1 Start**: Console CRUD, Daily Standup [cite: 24]","**The Architect's Pivot**: In Shadow Project, replace In-Memory List with a JSON File Store (Serialization).",,
[cite_start]20-Jan-26,Day 17,"**PRA 1 EXAM**: C# Coding (OOP + Array) [cite: 24]","Post-Exam: Relax. If successful, install Serilog in Shadow API.",,
[cite_start]21-Jan-26,Day 18,"Sprint 1 Execution [cite: 24]","Observability: Connect Shadow API to Azure Application Insights. View live traffic.",,
[cite_start]22-Jan-26,Day 19,"Sprint 1 Execution [cite: 24]","EF Core Setup: Install Entity Framework Core. Create DbContext connected to Azure SQL.",,
[cite_start]23-Jan-26,Day 20,"Sprint 1 Review & Feedback [cite: 24]","EF Core Migrations: Run 'dotnet ef migrations add InitialCreate'. Update Cloud DB.",,
24-Jan-26,Weekend,WEEKEND Sprint,"SQL Drill: Complex Joins, Group By, Having. (Prep for PRA 2 Quiz).",,
25-Jan-26,Weekend,WEEKEND Sprint,"DSA Drill: Stack, Queue, HashMap (HackerRank Prep).",,
[cite_start]26-Jan-26,Day 21,"LINQ & Final Checklist [cite: 28]","LINQ Mastery: Refactor Shadow API to use LINQ for all data filtering.",,
[cite_start]27-Jan-26,Day 22,"Delegates, Events, File Handling, Async [cite: 28]","Async/Await: Convert all Shadow API Controllers to 'public async Task<IActionResult>'.",,
[cite_start]28-Jan-26,Day 23,"ADO.NET Connected Architecture [cite: 28]","**PRA 2 DRILL**: Write raw SqlConnection, SqlCommand, SqlDataReader 5 times by hand.",,
[cite_start]29-Jan-26,Day 24,"ADO.NET Disconnected Architecture [cite: 28]","**PRA 2 DRILL**: Practice DataSet/DataAdapter. (Do not use EF Core tonight).",,
[cite_start]30-Jan-26,Day 25,"**PRA 2 EXAM**: Adv C# (ADO.NET) [cite: 28]","Party / Relax. You have cleared the hardest technical hurdles.",,
31-Jan-26,Weekend,WEEKEND Sprint,"Cloud CRUD Completion: Ensure Shadow API has full Create/Read/Update/Delete on Azure.",,
01-Feb-26,Weekend,WEEKEND Sprint,"HackerRank Mock: Solve 2 Medium problems (Sliding Window / Two Pointers).",,
[cite_start]02-Feb-26,Day 26,"HackerRank Modules Demo / JSON [cite: 28]","Docker Basics: Create Dockerfile for Shadow API. Build image locally.",,
[cite_start]03-Feb-26,Day 27,"HackerRank SE Certification Mock [cite: 28]","CI/CD Part 1: Create GitHub Action to build and test code on push.",,
[cite_start]04-Feb-26,Day 28,"**HackerRank SE Certification Test** [cite: 28]","CI/CD Part 2: Automate deployment. Push to Main -> Auto-deploy to Azure App Service.",,
[cite_start]05-Feb-26,Day 29,"Console App (JSON/REST) [cite: 28]","Documentation: Write Readme.md. Draw Architecture Diagram (Mermaid/Draw.io).",,
[cite_start]06-Feb-26,Day 30,"SRE/ARE Overview & End [cite: 28]","Final Polish: Add Project to LinkedIn. You are now Cloud Ready.",,
